Elukoht;isikute_arv_arvut;isikute_arv;vanus_0_14;vanus_15_64;vanus_65;Seisund_hoivatu;Seisund_oppur
1kmN6405E0621;2330;2330;348;1401;581;881;97
1kmN6472E0527;2299;2299;357;1412;530;1126;105
1kmN6514E0638;2264;2264;325;1343;596;1022;115
1kmN6585E0541;2251;2251;360;1515;376;1284;61
1kmN6582E0539;2245;2245;408;1470;367;1202;142
1kmN6589E0715;2233;2233;240;1388;605;1034;100
1kmN6405E0620;2216;2216;327;1399;490;945;91
1kmN6597E0546;2213;2213;495;1346;372;1109;111
1kmN6472E0660;2206;2206;384;1428;394;1139;124
1kmN6597E0547;2200;2200;594;1352;254;1097;85
1kmN6594E0558;2136;2136;304;1408;424;1157;67
1kmN6579E0503;2128;2128;279;1331;518;993;75
1kmN6606E0597;2095;2095;216;1283;596;948;69
1kmN6595E0547;2094;2094;419;1285;390;1045;95
1kmN6587E0545;2092;2092;304;1423;365;1107;85
1kmN6582E0538;2068;2068;381;1305;382;1051;130
1kmN6533E0474;2060;2060;291;1183;586;962;98
1kmN6584E0536;2055;2055;479;1491;85;1297;49
1kmN6458E0412;2053;2053;383;1272;398;1028;97
1kmN6473E0656;2040;2040;392;1220;428;1026;112
1kmN6584E0545;2010;2010;734;1232;44;1005;68
1kmN6582E0536;1992;1992;367;1239;386;1034;95
1kmN6457E0411;1981;1981;306;1202;473;951;96
1kmN6470E0530;1980;1980;292;1156;532;948;85
1kmN6588E0535;1977;1977;461;1334;182;1068;68
1kmN6583E0669;1976;1976;246;1110;620;748;76
1kmN6476E0658;1939;1939;378;1191;370;981;104
1kmN6472E0530;1922;1922;359;1174;389;963;85
1kmN6590E0714;1913;1913;265;1189;459;832;87
1kmN6570E0611;1907;1907;295;1166;446;807;96
1kmN6470E0593;1888;1888;351;1158;379;831;91
1kmN6470E0592;1838;1838;287;1095;456;845;92
1kmN6588E0687;1814;1814;287;1078;449;780;97
1kmN6583E0537;1790;1790;341;1092;357;902;111
1kmN6580E0535;1787;1787;290;1167;330;973;92
1kmN6585E0693;1768;1768;258;1063;447;797;63
1kmN6587E0538;1768;1768;297;1126;345;954;77
1kmN6583E0538;1763;1763;330;1159;274;896;109
1kmN6585E0545;1750;1750;621;1080;49;880;45
1kmN6472E0529;1728;1728;271;1050;407;820;63
1kmN6470E0594;1728;1728;356;1028;344;792;98
1kmN6579E0535;1708;1708;337;1081;290;888;92
1kmN6472E0531;1689;1689;276;1048;365;828;63
1kmN6588E0547;1660;1660;244;1051;365;848;64
1kmN6595E0557;1658;1658;262;1159;237;900;64
1kmN6415E0677;1657;1657;235;975;447;722;76
1kmN6473E0660;1657;1657;289;1012;356;785;94
1kmN6589E0533;1637;1637;332;1129;176;872;120
1kmN6594E0549;1616;1616;295;1058;263;850;98
1kmN6584E0669;1600;1600;196;921;483;675;52
1kmN6575E0523;1599;1599;333;1001;265;855;58
1kmN6468E0533;1585;1585;252;942;391;753;94
1kmN6596E0547;1560;1560;344;945;271;802;74
1kmN6532E0474;1539;1539;222;909;408;745;53
1kmN6579E0534;1534;1534;308;932;294;790;67
1kmN6581E0540;1533;1533;222;960;351;784;52
1kmN6585E0695;1523;1523;240;890;393;688;65
1kmN6589E0687;1522;1522;208;891;423;569;69
1kmN6476E0659;1503;1503;254;990;259;770;117
1kmN6573E0537;1501;1501;248;927;326;824;69
1kmN6581E0538;1500;1500;255;942;303;790;66
1kmN6583E0694;1483;1483;198;920;365;666;60
1kmN6579E0536;1477;1477;434;904;139;760;54
1kmN6438E0679;1475;1475;197;923;355;730;75
1kmN6587E0536;1475;1475;241;826;408;739;55
1kmN6472E0657;1475;1475;296;956;223;731;120
1kmN6582E0634;1463;1463;251;941;271;685;67
1kmN6455E0641;1463;1463;261;863;339;666;86
1kmN6582E0537;1463;1463;312;918;233;747;88
1kmN6579E0551;1457;1457;388;926;143;788;84
1kmN6471E0594;1451;1451;255;893;303;735;80
1kmN6471E0593;1446;1446;251;847;348;683;73
1kmN6589E0545;1445;1445;289;988;168;833;35
1kmN6458E0410;1425;1425;242;868;315;716;70
1kmN6591E0547;1414;1414;261;982;171;721;109
1kmN6588E0534;1412;1412;295;987;130;753;93
1kmN6595E0548;1407;1407;294;878;235;708;61
